"","winning_alliance","predicted_winner","red_average_opr","red_average_dpr","red_robot1","red_robot2","red_robot3","blue_robot1","blue_robot2","blue_robot3"
"qm3","red","red",153.3,49.62,"frc1806 opr =165.2 dpr =52.93","frc364 opr =167.5 dpr =18.03","frc4561 opr =127.3 dpr =77.9","frc6952 opr =57.21 dpr =110.9","frc7057 opr =35.67 dpr =258.9","frc2630 opr =125 dpr =96.59"
"qm16","blue","red",106.9,118.6,"frc2658 opr =92.69 dpr =110.4","frc5045 opr =77.68 dpr =140.3","frc1533 opr =150.2 dpr =105.1","frc1806 opr =165.2 dpr =52.93","frc6131 opr =88.36 dpr =98.77","frc2557 opr =143.9 dpr =83.21"
"qm27","blue","red",116.2,99.16,"frc6888 opr =62.89 dpr =146.4","frc120 opr =120.6 dpr =98.14","frc1806 opr =165.2 dpr =52.93","frc6445 opr =78.29 dpr =131.9","frc2231 opr =93.44 dpr =100.9","frc3847 opr =117.8 dpr =56.46"
"qm40","red","red",150.7,84.46,"frc5584 opr =126.3 dpr =120","frc1806 opr =165.2 dpr =52.93","frc2471 opr =160.5 dpr =80.46","frc7079 opr =48.26 dpr =166.4","frc5908 opr =59.09 dpr =222.3","frc4627 opr =74.65 dpr =129.1"
"qm56","blue","blue",80.85,115.5,"frc5986 opr =124.9 dpr =85.69","frc4146 opr =83.67 dpr =59.07","frc5716 opr =33.98 dpr =201.7","frc5449 opr =76.51 dpr =43.36","frc1806 opr =165.2 dpr =52.93","frc2630 opr =125 dpr =96.59"
"qm66","red","red",135.3,63.96,"frc2122 opr =157 dpr =79.88","frc4146 opr =83.67 dpr =59.07","frc1806 opr =165.2 dpr =52.93","frc2655 opr =91.45 dpr =138.3","frc6314 opr =48.47 dpr =97.73","frc3663 opr =156.6 dpr =65.16"
"qm72","blue","blue",85.86,141.9,"frc6941 opr =74.94 dpr =149.7","frc5468 opr =104.5 dpr =135.1","frc4941 opr =78.13 dpr =141","frc2642 opr =145 dpr =93.84","frc360 opr =91.93 dpr =96.74","frc1806 opr =165.2 dpr =52.93"
"qm86","blue","blue",109.6,125.4,"frc120 opr =120.6 dpr =98.14","frc1296 opr =92.99 dpr =163.2","frc4603 opr =115.1 dpr =114.9","frc1538 opr =150.4 dpr =55.11","frc987 opr =186.2 dpr =83.89","frc1806 opr =165.2 dpr =52.93"
"qm91","red","red",139.3,93.71,"frc1806 opr =165.2 dpr =52.93","frc5344 opr =74.64 dpr =169.4","frc5818 opr =178.2 dpr =58.81","frc1318 opr =151.4 dpr =99.7","frc2637 opr =66.04 dpr =160","frc2341 opr =99.15 dpr =113.4"
"qm108","","blue",111.4,117.8,"frc7287 opr =110.7 dpr =144","frc4698 opr =83.81 dpr =130.3","frc2059 opr =139.6 dpr =79.12","frc3512 opr =239.3 dpr =95.32","frc1806 opr =165.2 dpr =52.93","frc1296 opr =92.99 dpr =163.2"
